selected,left,right,elapsed,,,
c_SpCo_B,c_CC,c_SpCo_B,1.151,,,
c_Tr,c_Tr,c_Co_G,1.718,,,
c_SpCo_B,c_SpCo_B,c_Co_G,0.834,,,
a_An_B,a_Co_G,a_An_B,1.618,,,
c_An_B,c_CC,c_An_B,2.119,,,
a_SpCo_B,a_SpCo_B,a_SpCo_R,2.085,,,
a_SpCo_R,a_SpCo_R,a_Co_G,1.468,,,
c_SpCo_R,c_SpCo_G,c_SpCo_R,1.168,,,
a_Co_B,a_SpCo_G,a_Co_B,2.402,,,
a_SpCo_R,a_SpCo_G,a_SpCo_R,0.967,,,
c_Co_B,c_Co_G,c_Co_B,1.201,,,
a_An_R,a_SpCo_G,a_An_R,1.118,,,
c_SatL_G,c_SatL_G,c_SatH_G,3.236,,,
a_An_G,a_Co_G,a_An_G,1.918,,,
a_Tr,a_Tr,a_CC,1.285,,,
c_Tr,c_Tr,c_An_R,1.318,,,
a_SatH_G,a_SatL_G,a_SatH_G,3.302,,,
c_SpCo_G,c_SpCo_G,c_An_R,1.352,,,
a_An_B,a_An_G,a_An_B,0.934,,,
c_SpCo_R,c_CC,c_SpCo_R,0.984,,,
c_Co_R,c_Co_B,c_Co_R,3.119,,,
c_Co_R,c_Co_R,c_An_B,1.268,,,
c_Tr,c_Tr,c_SpCo_G,1.484,,,
c_SpCo_B,c_SpCo_B,c_An_B,1.218,,,
a_CC,a_CC,a_Co_G,2.486,,,
c_SatL_R,c_SatL_R,c_SatH_R,6.672,,,
c_An_G,c_CC,c_An_G,2.903,,,
c_SpCo_R,c_SpCo_R,c_Co_R,2.151,,,
c_Tr,c_Tr,c_An_G,0.968,,,
c_SpCo_B,c_SpCo_G,c_SpCo_B,0.684,,,
c_SpCo_R,c_SpCo_R,c_An_G,0.75,,,
a_SpCo_R,a_SpCo_R,a_Co_R,6.807,,,
a_SpCo_B,a_SpCo_B,a_Co_R,1.551,,,
c_Warm,c_Cool,c_Warm,1.935,,,
a_Co_R,a_Co_R,a_An_B,2.085,,,
a_SpCo_R,a_SpCo_R,a_An_R,1.501,,,
a_An_R,a_Co_B,a_An_R,1.018,,,
c_Co_B,c_Co_B,c_An_G,1.834,,,
a_Co_R,a_SpCo_G,a_Co_R,1.502,,,
a_SpCo_B,a_CC,a_SpCo_B,1.367,,,
c_An_B,c_Co_G,c_An_B,1.986,,,
a_Co_R,a_Co_B,a_Co_R,4.104,,,
a_Tr,a_Tr,a_Co_G,1.317,,,
a_An_R,a_An_B,a_An_R,2.519,,,
c_Co_R,c_Co_R,c_An_G,1.568,,,
c_SpCo_G,c_SpCo_G,c_An_G,1.301,,,
c_SatL_B,c_SatL_B,c_SatH_B,2.352,,,
a_SpCo_R,a_CC,a_SpCo_R,4.538,,,
a_SpCo_B,a_SpCo_B,a_Co_B,1.601,,,
c_SpCo_G,c_SpCo_G,c_An_B,1.468,,,
c_SpCo_B,c_Tr,c_SpCo_B,0.751,,,
a_SpCo_B,a_SpCo_B,a_An_G,1.434,,,
